A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C	0.001955	0.006572	0.804666	0.000704	0.000001	0.000001
D	0.329859	0.000000	0.000000	0.000000	0.000000	0.000000
E	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
F	0.000000	0.000000	0.000000	0.000000	0.000000	0.480402
G	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
J	0.000785	0.414715	0.000001	0.000001	0.000001	0.000001
K	0.316598	0.000000	0.000000	0.000000	0.000000	0.000000
L	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
M	0.000001	0.000001	0.000001	0.000001	0.297427	0.031054
N	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Q	0.004004	0.000000	0.195326	0.000399	0.000000	0.000000
R	0.288758	0.000000	0.000000	0.000000	0.000000	0.000000
S	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
T	0.000001	0.000001	0.000001	0.058106	0.331770	0.369599
U	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
W	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
X	0.058035	0.578707	0.000001	0.940783	0.000001	0.000001
Y	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Z	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
a	0.000000	0.000000	0.000000	0.000000	0.370795	0.118938
b	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
