A	0.000001	0.000001	0.000001	0.000001	0.000001
B	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.487705	0.169477	0.000003	0.000003	0.000003
D	0.000002	0.000002	0.000002	0.000002	0.000002
E	0.000000	0.000000	0.000000	0.000249	0.000000
F	0.000001	0.004037	0.000001	0.000001	0.999966
G	0.000002	0.000002	0.000002	0.000002	0.000002
H	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000000	0.000000	0.000000	0.000000	0.000000
J	0.141794	0.132425	0.000002	0.000002	0.000002
K	0.000002	0.000002	0.000002	0.000002	0.000002
L	0.000000	0.000000	0.000000	0.000000	0.000000
M	0.000003	0.066208	0.000003	0.000003	0.000003
N	0.000001	0.000001	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000000	0.000000	0.000000	0.000000	0.000000
Q	0.169620	0.140085	0.000001	0.000001	0.000001
R	0.000001	0.000001	0.000001	0.000001	0.000001
S	0.000000	0.000000	0.000000	0.000000	0.000000
T	0.000003	0.000003	0.999967	0.999719	0.000003
U	0.000001	0.000001	0.000001	0.000001	0.000001
V	0.000000	0.000000	0.000000	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.000001	0.000001
X	0.200854	0.431848	0.000003	0.000003	0.000003
Y	0.000002	0.000002	0.000002	0.000002	0.000002
Z	0.000000	0.000000	0.000000	0.000000	0.000000
a	0.000003	0.055900	0.000003	0.000003	0.000003
b	0.000002	0.000002	0.000002	0.000002	0.000002
