A	0.038723	0.000001	0.000001	0.000001
B	0.000002	0.000002	0.000002	0.000002
C	0.000000	0.000000	0.000000	0.000000
D	0.169111	0.000001	0.009629	0.067463
E	0.003807	0.000002	0.000002	0.000002
F	0.000001	0.000001	0.000001	0.000001
G	0.000000	0.000000	0.000000	0.000000
H	0.013575	0.000001	0.000001	0.016877
I	0.352934	0.090934	0.000385	0.496312
J	0.000001	0.000001	0.000001	0.000001
K	0.000000	0.000000	0.000000	0.000000
L	0.306331	0.829728	0.989579	0.349464
M	0.010091	0.079326	0.000397	0.000053
N	0.000001	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000
P	0.105422	0.000001	0.000001	0.069821
