A	0.005303	0.070733	0.000000	0.000000
B	0.000001	0.000001	0.000001	0.032549
C	0.000002	0.000002	0.000002	0.000002
D	0.000002	0.000002	0.000002	0.000002
E	0.000000	0.000000	0.000000	0.000000
F	0.000001	0.000001	0.000001	0.000001
G	0.015106	0.000002	0.000002	0.000002
H	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.015978
J	0.000001	0.000001	0.000001	0.000001
K	0.000002	0.000002	0.000002	0.000002
L	0.000000	0.000000	0.000000	0.000000
M	0.677523	0.693721	0.991785	0.946817
N	0.000001	0.000001	0.000001	0.000001
O	0.000810	0.017531	0.000000	0.000000
P	0.000000	0.000000	0.000000	0.000000
Q	0.000001	0.000001	0.000001	0.000001
R	0.000002	0.000002	0.000002	0.000002
S	0.000000	0.000000	0.000000	0.000000
T	0.000002	0.000002	0.000002	0.000002
U	0.000001	0.000001	0.008188	0.000001
V	0.001712	0.006854	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.004630
X	0.000001	0.000001	0.000001	0.000001
Y	0.000002	0.000002	0.000002	0.000002
Z	0.000000	0.000000	0.000000	0.000000
a	0.299523	0.211136	0.000002	0.000002
b	0.000001	0.000001	0.000001	0.000001
